iter  1340 | reward +0.388 | regret[first10] 0.886 -> regret[last10] 1.154 | policy_loss +0.0078 | entropy 0.491 | entropy_coef 0.0027
iter  1350 | reward +0.085 | regret[first10] 0.992 -> regret[last10] 1.106 | policy_loss +0.0040 | entropy 0.357 | entropy_coef 0.0027
iter  1360 | reward +0.093 | regret[first10] 1.125 -> regret[last10] 0.977 | policy_loss +0.0008 | entropy 0.167 | entropy_coef 0.0026
iter  1370 | reward +0.238 | regret[first10] 1.109 -> regret[last10] 0.929 | policy_loss +0.0005 | entropy 0.240 | entropy_coef 0.0026
iter  1380 | reward +0.313 | regret[first10] 1.100 -> regret[last10] 0.881 | policy_loss +0.0005 | entropy 0.172 | entropy_coef 0.0025
iter  1390 | reward +0.419 | regret[first10] 0.996 -> regret[last10] 0.892 | policy_loss +0.0016 | entropy 0.130 | entropy_coef 0.0024
iter  1400 | reward +0.332 | regret[first10] 1.088 -> regret[last10] 0.936 | policy_loss +0.0004 | entropy 0.129 | entropy_coef 0.0024
iter  1410 | reward +0.504 | regret[first10] 0.999 -> regret[last10] 0.921 | policy_loss +0.0001 | entropy 0.159 | entropy_coef 0.0023
iter  1420 | reward +0.474 | regret[first10] 0.905 -> regret[last10] 0.927 | policy_loss +0.0016 | entropy 0.164 | entropy_coef 0.0022
iter  1430 | reward +0.506 | regret[first10] 0.982 -> regret[last10] 0.847 | policy_loss +0.0003 | entropy 0.147 | entropy_coef 0.0022
iter  1440 | reward +0.481 | regret[first10] 0.952 -> regret[last10] 0.932 | policy_loss +0.0018 | entropy 0.147 | entropy_coef 0.0021
iter  1450 | reward +0.476 | regret[first10] 0.929 -> regret[last10] 0.886 | policy_loss +0.0007 | entropy 0.151 | entropy_coef 0.0021
iter  1460 | reward +0.446 | regret[first10] 0.874 -> regret[last10] 0.979 | policy_loss +0.0010 | entropy 0.137 | entropy_coef 0.0020
iter  1470 | reward +0.468 | regret[first10] 0.912 -> regret[last10] 0.859 | policy_loss +0.0007 | entropy 0.142 | entropy_coef 0.0019
iter  1480 | reward +0.464 | regret[first10] 0.879 -> regret[last10] 0.906 | policy_loss +0.0001 | entropy 0.129 | entropy_coef 0.0019
iter  1490 | reward +0.481 | regret[first10] 0.935 -> regret[last10] 0.909 | policy_loss +0.0002 | entropy 0.143 | entropy_coef 0.0018
iter  1500 | reward +0.549 | regret[first10] 0.881 -> regret[last10] 0.981 | policy_loss +0.0008 | entropy 0.132 | entropy_coef 0.0017
iter  1510 | reward +0.578 | regret[first10] 0.864 -> regret[last10] 0.813 | policy_loss +0.0012 | entropy 0.118 | entropy_coef 0.0017
iter  1520 | reward +0.456 | regret[first10] 0.939 -> regret[last10] 0.881 | policy_loss -0.0001 | entropy 0.115 | entropy_coef 0.0016
iter  1530 | reward +0.461 | regret[first10] 0.999 -> regret[last10] 1.014 | policy_loss +0.0002 | entropy 0.113 | entropy_coef 0.0016
iter  1540 | reward +0.475 | regret[first10] 0.994 -> regret[last10] 0.990 | policy_loss +0.0006 | entropy 0.113 | entropy_coef 0.0015
iter  1550 | reward +0.394 | regret[first10] 1.079 -> regret[last10] 1.052 | policy_loss +0.0009 | entropy 0.102 | entropy_coef 0.0014
iter  1560 | reward +0.400 | regret[first10] 0.880 -> regret[last10] 1.111 | policy_loss +0.0026 | entropy 0.091 | entropy_coef 0.0014
iter  1570 | reward +0.359 | regret[first10] 1.083 -> regret[last10] 1.227 | policy_loss +0.0025 | entropy 0.092 | entropy_coef 0.0013
iter  1580 | reward +0.417 | regret[first10] 1.058 -> regret[last10] 1.148 | policy_loss -0.0003 | entropy 0.081 | entropy_coef 0.0012
iter  1590 | reward +0.428 | regret[first10] 1.163 -> regret[last10] 0.990 | policy_loss +0.0002 | entropy 0.062 | entropy_coef 0.0012
iter  1600 | reward +0.542 | regret[first10] 1.014 -> regret[last10] 0.802 | policy_loss +0.0004 | entropy 0.061 | entropy_coef 0.0011
iter  1610 | reward +0.482 | regret[first10] 0.988 -> regret[last10] 0.778 | policy_loss +0.0005 | entropy 0.058 | entropy_coef 0.0011
iter  1620 | reward +0.460 | regret[first10] 0.992 -> regret[last10] 0.760 | policy_loss +0.0006 | entropy 0.045 | entropy_coef 0.0010
iter  1630 | reward +0.419 | regret[first10] 1.063 -> regret[last10] 0.790 | policy_loss +0.0004 | entropy 0.048 | entropy_coef 0.0009
iter  1640 | reward +0.450 | regret[first10] 1.053 -> regret[last10] 0.749 | policy_loss +0.0007 | entropy 0.044 | entropy_coef 0.0009
iter  1650 | reward +0.478 | regret[first10] 0.982 -> regret[last10] 0.789 | policy_loss +0.0007 | entropy 0.040 | entropy_coef 0.0008
iter  1660 | reward +0.490 | regret[first10] 0.958 -> regret[last10] 0.785 | policy_loss +0.0011 | entropy 0.039 | entropy_coef 0.0007
iter  1670 | reward +0.482 | regret[first10] 1.028 -> regret[last10] 0.770 | policy_loss +0.0003 | entropy 0.051 | entropy_coef 0.0007
iter  1680 | reward +0.506 | regret[first10] 0.879 -> regret[last10] 0.791 | policy_loss +0.0012 | entropy 0.055 | entropy_coef 0.0006
iter  1690 | reward +0.557 | regret[first10] 1.016 -> regret[last10] 0.844 | policy_loss +0.0020 | entropy 0.052 | entropy_coef 0.0006
